Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,VNYMR
1678087502.932321,0,1678087502,924694299,imu1_frame,0,0,0,,0.058866608643368616,-0.026444297683501438,0.03004744431987355,0.9974630682870914,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.024405,-0.010337,0.00964,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.522,-1.139,-9.945,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2527,0.1628,0.3385,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.263,-003.227,+006.663,+00.2527,+00.1628,+00.3385,-00.522,-01.139,-09.945,+00.024405,-00.010337,+00.009640*6B\r\n'"
1678087502.9761972,0,1678087502,949686050,imu1_frame,0,0,0,,0.05902275867771112,-0.026762962636322492,0.030052494977377567,0.9974451891380469,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.007076,-0.019316,-2.1e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.537,-1.228,-10.342,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2536,0.1646,0.3414,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.261,-003.264,+006.680,+00.2536,+00.1646,+00.3414,-00.537,-01.228,-10.342,+00.007076,-00.019316,-00.000021*63\r\n'"
1678087502.9788048,0,1678087502,974740982,imu1_frame,0,0,0,,0.059178501554153475,-0.026769528941548833,0.030013679471780092,0.9974369535557713,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.014086,0.00114,-0.011114,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.575,-1.331,-10.323,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2544,0.1618,0.3337,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.256,-003.265,+006.698,+00.2544,+00.1618,+00.3337,-00.575,-01.331,-10.323,+00.014086,+00.001140,-00.011114*6B\r\n'"
1678087503.020222,0,1678087502,999618530,imu1_frame,0,0,0,,0.05931694309064421,-0.02658340036160154,0.02984118908473803,0.9974388836022009,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.014017,0.024976,-0.013964,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.546,-1.189,-10.234,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2554,0.169,0.3385,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.237,-003.243,+006.715,+00.2554,+00.1690,+00.3385,-00.546,-01.189,-10.234,+00.014017,+00.024976,-00.013964*6D\r\n'"
1678087503.0641851,0,1678087503,24685859,imu1_frame,0,0,0,,0.05942547144643793,-0.02649815010506281,0.02975211485023674,0.9974373529431892,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.006189,0.00096,-0.005865,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.52,-1.093,-10.151,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2553,0.1627,0.3405,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.227,-003.233,+006.728,+00.2553,+00.1627,+00.3405,-00.520,-01.093,-10.151,+00.006189,+00.000960,-00.005865*68\r\n'"
1678087503.0642102,0,1678087503,49811124,imu1_frame,0,0,0,,0.05946968566521487,-0.026449174798943147,0.02982037946593319,0.9974339790722206,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.008544,0.004239,0.004502,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.55,-1.146,-10.149,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2536,0.1628,0.3414,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.235,-003.228,+006.733,+00.2536,+00.1628,+00.3414,-00.550,-01.146,-10.149,+00.008544,+00.004239,+00.004502*63\r\n'"
1678087503.108191,0,1678087503,74718952,imu1_frame,0,0,0,,0.05953747063277541,-0.02639590177361753,0.02980178302750364,0.9974319022813488,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.00183,0.014275,-0.007962,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.533,-1.123,-10.276,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.251,0.1691,0.3383,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.233,-003.222,+006.741,+00.2510,+00.1691,+00.3383,-00.533,-01.123,-10.276,+00.001830,+00.014275,-00.007962*6D\r\n'"
1678087503.1082222,0,1678087503,99606513,imu1_frame,0,0,0,,0.05954338849811051,-0.026245057606848046,0.029836935412226907,0.9974344786112936,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001986,0.001059,0.001525,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.549,-1.182,-10.194,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2519,0.1646,0.3413,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.238,-003.205,+006.742,+00.2519,+00.1646,+00.3413,-00.549,-01.182,-10.194,-00.001986,+00.001059,+00.001525*69\r\n'"
1678087503.1520813,0,1678087503,124640703,imu1_frame,0,0,0,,0.05954471832919248,-0.026140468380984147,0.029979343421947722,0.9974328756362049,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.003781,0.011656,0.014943,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.558,-1.229,-10.203,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2536,0.1627,0.3395,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.255,-003.194,+006.742,+00.2536,+00.1627,+00.3395,-00.558,-01.229,-10.203,+00.003781,+00.011656,+00.014943*68\r\n'"
1678087503.1530044,0,1678087503,149691820,imu1_frame,0,0,0,,0.05956483905538153,-0.026096808367298097,0.030117043297066506,0.9974286692512851,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.004068,-0.000798,0.00383,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.539,-1.29,-10.191,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2536,0.1655,0.3423,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.271,-003.190,+006.744,+00.2536,+00.1655,+00.3423,-00.539,-01.290,-10.191,-00.004068,-00.000798,+00.003830*69\r\n'"
