Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675106098.246576,598,69298,0,GPS1_Frame,42.33712666666667,-71.090445,12.100000381469727,1.0,327787.51938444225,4689324.451286422,19:14:58,19,T
1675106098.5376327,599,69298,0,GPS1_Frame,42.33712666666667,-71.090445,0.0,0.0,327787.51938444225,4689324.451286422,19:14:58,19,T
1675106099.2465625,600,69299,0,GPS1_Frame,42.33712666666667,-71.090445,12.100000381469727,1.0,327787.51938444225,4689324.451286422,19:14:59,19,T
1675106099.537638,601,69299,0,GPS1_Frame,42.33712666666667,-71.090445,0.0,0.0,327787.51938444225,4689324.451286422,19:14:59,19,T
1675106100.2474103,602,69300,0,GPS1_Frame,42.33712666666667,-71.090445,12.100000381469727,1.0,327787.51938444225,4689324.451286422,19:15:0,19,T
1675106100.5385468,603,69300,0,GPS1_Frame,42.33712666666667,-71.090445,0.0,0.0,327787.51938444225,4689324.451286422,19:15:0,19,T
1675106101.2821975,604,69301,0,GPS1_Frame,42.33712666666667,-71.090445,12.100000381469727,1.0,327787.51938444225,4689324.451286422,19:15:1,19,T
1675106101.5733433,605,69301,0,GPS1_Frame,42.33712666666667,-71.090445,0.0,0.0,327787.51938444225,4689324.451286422,19:15:1,19,T
1675106102.2462876,606,69302,0,GPS1_Frame,42.33712666666667,-71.090445,12.100000381469727,1.0,327787.51938444225,4689324.451286422,19:15:2,19,T
1675106103.0092938,607,69302,0,GPS1_Frame,42.33712666666667,-71.090445,0.0,0.0,327787.51938444225,4689324.451286422,19:15:2,19,T
1675106103.2477386,608,69303,0,GPS1_Frame,42.33712666666667,-71.090445,12.100000381469727,1.0,327787.51938444225,4689324.451286422,19:15:3,19,T
1675106103.5386944,609,69303,0,GPS1_Frame,42.33712666666667,-71.090445,0.0,0.0,327787.51938444225,4689324.451286422,19:15:3,19,T
1675106104.2472618,610,69304,0,GPS1_Frame,42.33712666666667,-71.090445,12.100000381469727,1.0,327787.51938444225,4689324.451286422,19:15:4,19,T
1675106104.5382767,611,69304,0,GPS1_Frame,42.33712666666667,-71.090445,0.0,0.0,327787.51938444225,4689324.451286422,19:15:4,19,T
1675106105.2817292,612,69305,0,GPS1_Frame,42.33712666666667,-71.090445,12.100000381469727,1.0,327787.51938444225,4689324.451286422,19:15:5,19,T
1675106105.5723457,613,69305,0,GPS1_Frame,42.33712666666667,-71.090445,0.0,0.0,327787.51938444225,4689324.451286422,19:15:5,19,T
1675106106.2465239,614,69306,0,GPS1_Frame,42.33712666666667,-71.090445,12.0,1.0,327787.51938444225,4689324.451286422,19:15:6,19,T
1675106106.5376396,615,69306,0,GPS1_Frame,42.33712666666667,-71.090445,0.0,0.0,327787.51938444225,4689324.451286422,19:15:6,19,T
1675106107.2469394,616,69307,0,GPS1_Frame,42.33712666666667,-71.090445,12.0,1.0,327787.51938444225,4689324.451286422,19:15:7,19,T
1675106108.0054176,617,69307,0,GPS1_Frame,42.33712666666667,-71.090445,0.0,0.0,327787.51938444225,4689324.451286422,19:15:7,19,T
1675106108.2799873,618,69308,0,GPS1_Frame,42.33712666666667,-71.090445,12.0,1.0,327787.51938444225,4689324.451286422,19:15:8,19,T
